,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,FINDERS KEEPERS,Stephen King,Scribner,1501100130,9781501100130,Combined Print and E-Book Fiction,2015-06-21,1
1,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,0698185390,9780698185395,Combined Print and E-Book Fiction,2015-06-21,21
2,IN THE UNLIKELY EVENT,Judy Blume,Knopf,1101875054,9781101875056,Combined Print and E-Book Fiction,2015-06-21,1
3,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,1476746583,9781476746586,Combined Print and E-Book Fiction,2015-06-21,38
4,RADIANT ANGEL,Nelson DeMille,Grand Central,145558231X,9781455582310,Combined Print and E-Book Fiction,2015-06-21,2
5,MEMORY MAN,David Baldacci,Grand Central,1455586382,9781455586387,Combined Print and E-Book Fiction,2015-06-21,7
6,14TH DEADLY SIN,James Patterson and Maxine Paetro,"Little, Brown",031640876X,9780316408769,Combined Print and E-Book Fiction,2015-06-21,5
7,LUCKIEST GIRL ALIVE,Jessica Knoll,Simon & Schuster,1476789657,9781476789651,Combined Print and E-Book Fiction,2015-06-21,4
8,THE NIGHTINGALE,Kristin Hannah,St. Martin's,1466850604,9781466850606,Combined Print and E-Book Fiction,2015-06-21,18
9,ZOO,James Patterson and Michael Ledwidge,"Little, Brown",None,9781455591237,Combined Print and E-Book Fiction,2015-06-21,5
10,SWEET ACHE,K Bromberg,Signet,None,9780698186699,Combined Print and E-Book Fiction,2015-06-21,1
11,SHARDS OF HOPE,Nalini Singh,Berkley,None,9781101605219,Combined Print and E-Book Fiction,2015-06-21,1
12,BEAUTIFUL SACRIFICE,Jamie McGuire,CreateSpace,None,A00B00WFGUQ4W,Combined Print and E-Book Fiction,2015-06-21,2
13,PIRANHA,Clive Cussler and Boyd Morrison,Putnam,,9780698140769,Combined Print and E-Book Fiction,2015-06-21,2
14,OUTLANDER,Diana Gabaldon,Dell,0440335167,9780440335160,Combined Print and E-Book Fiction,2015-06-21,19
15,GATHERING PREY,John Sandford,Putnam,None,9780698152519,Combined Print and E-Book Fiction,2015-06-21,0
16,TOP SECRET TWENTY-ONE,Janet Evanovich,Bantam,0345542932,9780345542939,Combined Print and E-Book Fiction,2015-06-21,0
17,A GAME OF THRONES,George RR Martin,Bantam,0553897845,9780553897845,Combined Print and E-Book Fiction,2015-06-21,0
18,PALACE OF TREASON,Jason Matthews,Scribner,1476793751,9781476793757,Combined Print and E-Book Fiction,2015-06-21,0
19,MOONLIGHT ON NIGHTINGALE WAY,Samantha Young,NAL,None,9780698195677,Combined Print and E-Book Fiction,2015-06-21,0
20,THE WRIGHT BROTHERS,David McCullough,Simon & Schuster,1476728747,9781476728742,Combined Print and E-Book Nonfiction,2015-06-21,5
21,PRIMATES OF PARK AVENUE,Wednesday Martin,Simon & Schuster,1476762724,9781476762722,Combined Print and E-Book Nonfiction,2015-06-21,1
22,"ADIOS, AMERICA!",Ann Coulter,Regnery,1621572676,9781621572671,Combined Print and E-Book Nonfiction,2015-06-21,1
23,THE BOYS IN THE BOAT,Daniel James Brown,Penguin,0143125478,9780143125471,Combined Print and E-Book Nonfiction,2015-06-21,55
24,THE ROAD TO CHARACTER,David Brooks,Random House,081299325X,9780812993257,Combined Print and E-Book Nonfiction,2015-06-21,8
25,DEAD WAKE,Erik Larson,Crown,0307408868,9780307408860,Combined Print and E-Book Nonfiction,2015-06-21,13
26,AMERICAN SNIPER,Chris Kyle with Scott McEwen and Jim DeFelice,Morrow/HarperCollins,0062376330,9780062376336,Combined Print and E-Book Nonfiction,2015-06-21,68
27,AND THE GOOD NEWS IS ...,Dana Perino,Twelve,1455584908,9781455584901,Combined Print and E-Book Nonfiction,2015-06-21,7
28,I AM MALALA,Malala Yousafzai with Christina Lamb,"Little, Brown",0316322423,9780316322423,Combined Print and E-Book Nonfiction,2015-06-21,16
29,BEING MORTAL,Atul Gawande,Metropolitan/Holt,0805095152,9780805095159,Combined Print and E-Book Nonfiction,2015-06-21,34
30,WILD,Cheryl Strayed,Knopf,0307476073,9780307476074,Combined Print and E-Book Nonfiction,2015-06-21,114
31,IT'S A LONG STORY,Willie Nelson with David Ritz,"Little, Brown",0316403555,9780316403559,Combined Print and E-Book Nonfiction,2015-06-21,5
32,UNBROKEN,Laura Hillenbrand,Random House,0812974492,9780812974492,Combined Print and E-Book Nonfiction,2015-06-21,204
33,ELON MUSK,Ashlee Vance,Ecco/HarperCollins,0062301233,9780062301239,Combined Print and E-Book Nonfiction,2015-06-21,3
34,BILL O'REILLY'S LEGENDS AND LIES,David Fisher,Holt,1627795073,9781627795074,Combined Print and E-Book Nonfiction,2015-06-21,9
35,OUTLIERS,Malcolm Gladwell,"Little, Brown",0316017930,9780316017930,Combined Print and E-Book Nonfiction,2015-06-21,0
36,AMERICAN WIFE,Taya Kyle with Jim DeFelice,Morrow/HarperCollins,0062398083,9780062398086,Combined Print and E-Book Nonfiction,2015-06-21,0
