,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,A WORLD OF CURIOSITIES,Louise Penny,Minotaur,1250145317,9781250145314,Combined Print and E-Book Fiction,2022-12-18,1
1,IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9781668001226,Combined Print and E-Book Fiction,2022-12-18,7
2,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Combined Print and E-Book Fiction,2022-12-18,77
3,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Combined Print and E-Book Fiction,2022-12-18,52
4,THE BOYS FROM BILOXI,John Grisham,Doubleday,0385548923,9780385548922,Combined Print and E-Book Fiction,2022-12-18,7
5,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9780385547345,Combined Print and E-Book Fiction,2022-12-18,4
6,FAIRY TALE,Stephen King,Scribner,1668002175,9781668002179,Combined Print and E-Book Fiction,2022-12-18,13
7,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219109,9780735219106,Combined Print and E-Book Fiction,2022-12-18,189
8,TRIPLE CROSS,James Patterson,"Little, Brown",0316499188,9780316499187,Combined Print and E-Book Fiction,2022-12-18,3
9,UGLY LOVE,Colleen Hoover,Atria,1476753180,9781476753188,Combined Print and E-Book Fiction,2022-12-18,47
10,DEMON COPPERHEAD,Barbara Kingsolver,Harper,0063251922,9780063251922,Combined Print and E-Book Fiction,2022-12-18,4
11,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9781501161933,Combined Print and E-Book Fiction,2022-12-18,74
12,DESERT STAR,Michael Connelly,"Little, Brown",0316485659,9780316485654,Combined Print and E-Book Fiction,2022-12-18,4
13,THE CHOICE,Nora Roberts,St. Martin's,1250272726,9781250272720,Combined Print and E-Book Fiction,2022-12-18,2
14,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,1984818384,9781984818386,Combined Print and E-Book Fiction,2022-12-18,8
15,THE LIGHT WE CARRY,Michelle Obama,Crown,0593237463,9780593237465,Combined Print and E-Book Nonfiction,2022-12-18,3
16,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,1250866448,9781250866448,Combined Print and E-Book Nonfiction,2022-12-18,5
