,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Combined Print and E-Book Fiction,2023-02-19,86
1,IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9781668001226,Combined Print and E-Book Fiction,2023-02-19,16
2,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9780385547345,Combined Print and E-Book Fiction,2023-02-19,13
3,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Combined Print and E-Book Fiction,2023-02-19,61
4,HEART BONES,Colleen Hoover,Atria,1668021919,9781668021910,Combined Print and E-Book Fiction,2023-02-19,1
5,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9781501161933,Combined Print and E-Book Fiction,2023-02-19,83
6,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,0593321200,9780593321201,Combined Print and E-Book Fiction,2023-02-19,8
7,UGLY LOVE,Colleen Hoover,Atria,1476753180,9781476753188,Combined Print and E-Book Fiction,2023-02-19,56
8,DEMON COPPERHEAD,Barbara Kingsolver,Harper,0063251922,9780063251922,Combined Print and E-Book Fiction,2023-02-19,13
9,EXILES,Jane Harper,Flatiron,1250874866,9781250874863,Combined Print and E-Book Fiction,2023-02-19,1
10,THE SILENT PATIENT,Alex Michaelides,Celadon,125030170X,9781250301703,Combined Print and E-Book Fiction,2023-02-19,57
11,THE HOUSE IN THE PINES,Ana Reyes,Dutton,0593186710,9780593186718,Combined Print and E-Book Fiction,2023-02-19,5
12,NOVEMBER 9,Colleen Hoover,Atria,1501110349,9781501110344,Combined Print and E-Book Fiction,2023-02-19,36
13,THINGS WE NEVER GOT OVER,Lucy Score,Bloom,194563183X,9781945631832,Combined Print and E-Book Fiction,2023-02-19,2
14,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,1524798649,9781524798642,Combined Print and E-Book Fiction,2023-02-19,6
15,SPARE,Prince Harry,Random House,0593593804,9780593593806,Combined Print and E-Book Nonfiction,2023-02-19,4
16,"LOVE, PAMELA",Pamela Anderson,Dey Street,0063226561,9780063226562,Combined Print and E-Book Nonfiction,2023-02-19,1
17,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Combined Print and E-Book Nonfiction,2023-02-19,128
18,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9781982185824,Combined Print and E-Book Nonfiction,2023-02-19,26
19,THE NAZI CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,1250777267,9781250777263,Combined Print and E-Book Nonfiction,2023-02-19,4
20,NEVER GIVE AN INCH,Mike Pompeo,Broadside,0063247445,9780063247444,Combined Print and E-Book Nonfiction,2023-02-19,2
21,THE LIGHT WE CARRY,Michelle Obama,Crown,0593237463,9780593237465,Combined Print and E-Book Nonfiction,2023-02-19,12
22,COBALT RED,Siddharth Kara,St. Martin's,1250284309,9781250284303,Combined Print and E-Book Nonfiction,2023-02-19,1
23,ALL ABOUT LOVE,bell hooks,Morrow,0060959479,9780060959470,Combined Print and E-Book Nonfiction,2023-02-19,35
24,THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",One World,0593230574,9780593230572,Combined Print and E-Book Nonfiction,2023-02-19,26
25,AND THERE WAS LIGHT,Jon Meacham,Random House,0553393979,9780553393972,Combined Print and E-Book Nonfiction,2023-02-19,15
26,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,1250866448,9781250866448,Combined Print and E-Book Nonfiction,2023-02-19,14
27,STRAIGHT SHOOTER,Stephen A. Smith,Gallery/13A,1982189495,9781982189495,Combined Print and E-Book Nonfiction,2023-02-19,3
28,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9781571313560,Combined Print and E-Book Nonfiction,2023-02-19,66
29,MASTER SLAVE HUSBAND WIFE,Ilyon Woo,Simon & Schuster,1501191055,9781501191053,Combined Print and E-Book Nonfiction,2023-02-19,2
30,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9780385547345,Hardcover Fiction,2023-02-19,39
31,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,0593321200,9780593321201,Hardcover Fiction,2023-02-19,19
32,THE HOUSE IN THE PINES,Ana Reyes,Dutton,0593186710,9780593186718,Hardcover Fiction,2023-02-19,5
33,DEMON COPPERHEAD,Barbara Kingsolver,Harper,0063251922,9780063251922,Hardcover Fiction,2023-02-19,16
34,MAAME,Jessica George,St. Martin's,1250282527,9781250282521,Hardcover Fiction,2023-02-19,1
35,THE BOYS FROM BILOXI,John Grisham,Doubleday,0385548923,9780385548922,Hardcover Fiction,2023-02-19,16
36,THE HOUSE OF WOLVES,James Patterson and Mike Lupica,"Little, Brown",0316404292,9780316404297,Hardcover Fiction,2023-02-19,4
37,EXILES,Jane Harper,Flatiron,1250235359,9781250235350,Hardcover Fiction,2023-02-19,1
38,FAIRY TALE,Stephen King,Scribner,1668002175,9781668002179,Hardcover Fiction,2023-02-19,22
39,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,1984818384,9781984818386,Hardcover Fiction,2023-02-19,18
40,HOW TO SELL A HAUNTED HOUSE,Grady Hendrix,Berkley,0593201264,9780593201268,Hardcover Fiction,2023-02-19,3
41,REMARKABLY BRIGHT CREATURES,Shel Van Pelt,Ecco,0063204150,9780063204157,Hardcover Fiction,2023-02-19,4
42,THE MIDNIGHT LIBRARY,Matt Haig,Viking,0525559477,9780525559474,Hardcover Fiction,2023-02-19,102
43,HORSE,Geraldine Brooks,Viking,0399562966,9780399562969,Hardcover Fiction,2023-02-19,10
44,FINLAY DONOVAN JUMPS THE GUN,Elle Cosimano,Minotaur,125084603X,9781250846037,Hardcover Fiction,2023-02-19,1
45,SPARE,Prince Harry,Random House,0593593804,9780593593806,Hardcover Nonfiction,2023-02-19,4
46,"LOVE, PAMELA",Pamela Anderson,Dey Street,0063226561,9780063226562,Hardcover Nonfiction,2023-02-19,1
47,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9781982185824,Hardcover Nonfiction,2023-02-19,26
48,NEVER GIVE AN INCH,Mike Pompeo,Broadside,0063247445,9780063247444,Hardcover Nonfiction,2023-02-19,2
49,THE LIGHT WE CARRY,Michelle Obama,Crown,0593237463,9780593237465,Hardcover Nonfiction,2023-02-19,12
50,THE NAZI CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,1250777267,9781250777263,Hardcover Nonfiction,2023-02-19,4
51,COBALT RED,Siddharth Kara,St. Martin's,1250284309,9781250284303,Hardcover Nonfiction,2023-02-19,1
52,STRAIGHT SHOOTER,Stephen A. Smith,Gallery/13A,1982189495,9781982189495,Hardcover Nonfiction,2023-02-19,3
53,THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",One World,0593230574,9780593230572,Hardcover Nonfiction,2023-02-19,31
54,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,1250866448,9781250866448,Hardcover Nonfiction,2023-02-19,14
55,THE MYTH OF NORMAL,Gabor Maté with Daniel Maté,Avery,0593083881,9780593083888,Hardcover Nonfiction,2023-02-19,14
56,CRYING IN H MART,Michelle Zauner,Knopf,0525657746,9780525657743,Hardcover Nonfiction,2023-02-19,66
57,MASTER SLAVE HUSBAND WIFE,Ilyon Woo,Simon & Schuster,1501191055,9781501191053,Hardcover Nonfiction,2023-02-19,3
58,SURRENDER,Bono,Knopf,0525521046,9780525521044,Hardcover Nonfiction,2023-02-19,14
59,AND THERE WAS LIGHT,Jon Meacham,Random House,0553393960,9780553393965,Hardcover Nonfiction,2023-02-19,16
60,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Trade Fiction Paperback,2023-02-19,92
61,IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9781668001226,Trade Fiction Paperback,2023-02-19,16
62,HEART BONES,Colleen Hoover,Atria,1668021919,9781668021910,Trade Fiction Paperback,2023-02-19,1
63,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Trade Fiction Paperback,2023-02-19,78
64,UGLY LOVE,Colleen Hoover,Atria,1476753180,9781476753188,Trade Fiction Paperback,2023-02-19,80
65,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9781501161933,Trade Fiction Paperback,2023-02-19,100
66,THE SILENT PATIENT,Alex Michaelides,Celadon,125030170X,9781250301703,Trade Fiction Paperback,2023-02-19,77
67,NOVEMBER 9,Colleen Hoover,Atria,1501110349,9781501110344,Trade Fiction Paperback,2023-02-19,64
68,THINGS WE NEVER GOT OVER,Lucy Score,Bloom,194563183X,9781945631832,Trade Fiction Paperback,2023-02-19,18
69,MAYBE SOMEDAY,Colleen Hoover,Atria,1476753164,9781476753164,Trade Fiction Paperback,2023-02-19,29
70,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,1524798649,9781524798642,Trade Fiction Paperback,2023-02-19,12
71,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219109,9780735219106,Trade Fiction Paperback,2023-02-19,97
72,THE MAID,Nita Prose,Ballantine,0593356179,9780593356173,Trade Fiction Paperback,2023-02-19,5
73,A MAN CALLED OVE,Fredrik Backman,Washington Square,1476738025,9781476738024,Trade Fiction Paperback,2023-02-19,93
74,MAYBE NOW,Colleen Hoover,Atria,1668013347,9781668013342,Trade Fiction Paperback,2023-02-19,14
75,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Paperback Nonfiction,2023-02-19,224
76,ALL ABOUT LOVE,bell hooks,Morrow,0060959479,9780060959470,Paperback Nonfiction,2023-02-19,61
77,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9781571313560,Paperback Nonfiction,2023-02-19,147
78,THE JANUARY 6TH REPORT,the Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,1250877520,9781250877529,Paperback Nonfiction,2023-02-19,6
