,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,RIGHTEOUS PREY,John Sandford,Putnam,0593422481,9780593422489,Combined Print and E-Book Fiction,2022-10-23,1
1,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Combined Print and E-Book Fiction,2022-10-23,44
2,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Combined Print and E-Book Fiction,2022-10-23,69
3,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,1984818384,9781984818386,Combined Print and E-Book Fiction,2022-10-23,1
4,FAIRY TALE,Stephen King,Scribner,1668002175,9781668002179,Combined Print and E-Book Fiction,2022-10-23,5
5,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219109,9780735219106,Combined Print and E-Book Fiction,2022-10-23,181
6,OUR MISSING HEARTS,Celeste Ng,Penguin Press,0593492544,9780593492543,Combined Print and E-Book Fiction,2022-10-23,1
7,DREAMLAND,Nicholas Sparks,Random House,059344955X,9780593449554,Combined Print and E-Book Fiction,2022-10-23,3
8,UGLY LOVE,Colleen Hoover,Atria,1476753180,9781476753188,Combined Print and E-Book Fiction,2022-10-23,39
9,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9781501161933,Combined Print and E-Book Fiction,2022-10-23,67
10,NOVEMBER 9,Colleen Hoover,Atria,1501110349,9781501110344,Combined Print and E-Book Fiction,2022-10-23,29
11,MAYBE NOW,Colleen Hoover,Atria,1668013347,9781668013342,Combined Print and E-Book Fiction,2022-10-23,3
12,ENDLESS SUMMER,Elin Hilderbrand,"Little, Brown",0316460915,9780316460910,Combined Print and E-Book Fiction,2022-10-23,1
13,BLOWBACK,James Patterson and Brendan DuBois,"Little, Brown",0316499633,9780316499637,Combined Print and E-Book Fiction,2022-10-23,4
14,THE SILENT PATIENT,Alex Michaelides,Celadon,125030170X,9781250301703,Combined Print and E-Book Fiction,2022-10-23,50
