,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9781668001226,Combined Print and E-Book Fiction,2023-01-22,12
1,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Combined Print and E-Book Fiction,2023-01-22,82
2,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Combined Print and E-Book Fiction,2023-01-22,57
3,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9780385547345,Combined Print and E-Book Fiction,2023-01-22,9
4,WITHOUT A TRACE,Danielle Steel,Delacorte,1984821873,9781984821874,Combined Print and E-Book Fiction,2023-01-22,1
5,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9781501161933,Combined Print and E-Book Fiction,2023-01-22,79
6,UGLY LOVE,Colleen Hoover,Atria,1476753180,9781476753188,Combined Print and E-Book Fiction,2023-01-22,52
7,THE HOUSE IN THE PINES,Ana Reyes,Dutton,0593186710,9780593186718,Combined Print and E-Book Fiction,2023-01-22,1
8,THE SILENT PATIENT,Alex Michaelides,Celadon,125030170X,9781250301703,Combined Print and E-Book Fiction,2023-01-22,53
9,DEMON COPPERHEAD,Barbara Kingsolver,Harper,006325199X,9780063251991,Combined Print and E-Book Fiction,2023-01-22,9
10,THE BOYS FROM BILOXI,John Grisham,Doubleday,0385548923,9780385548922,Combined Print and E-Book Fiction,2023-01-22,12
11,THE MAID,Nita Prose,Ballantine,0593356179,9780593356173,Combined Print and E-Book Fiction,2023-01-22,12
12,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,0593321219,9780593321218,Combined Print and E-Book Fiction,2023-01-22,4
13,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219109,9780735219106,Combined Print and E-Book Fiction,2023-01-22,193
14,LOATHE TO LOVE YOU,Ali Hazelwood,Berkley,0593437802,9780593437803,Combined Print and E-Book Fiction,2023-01-22,1
15,THE LIGHT WE CARRY,Michelle Obama,Crown,0593237463,9780593237465,Combined Print and E-Book Nonfiction,2023-01-22,8
16,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9781982185824,Combined Print and E-Book Nonfiction,2023-01-22,22
17,THE JANUARY 6 REPORT,the House January 6th Committee,Harper,0063315505,9780063315501,Combined Print and E-Book Nonfiction,2023-01-22,2
18,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Combined Print and E-Book Nonfiction,2023-01-22,124
19,THE JANUARY 6TH REPORT,the Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,1250877520,9781250877529,Combined Print and E-Book Nonfiction,2023-01-22,2
20,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,1250866448,9781250866448,Combined Print and E-Book Nonfiction,2023-01-22,10
21,ALL ABOUT LOVE,bell hooks,Morrow,0060959479,9780060959470,Combined Print and E-Book Nonfiction,2023-01-22,31
22,MYTH AMERICA,edited  Kevin M. Kruse and Julian E. Zelizer,Basic,1541601394,9781541601390,Combined Print and E-Book Nonfiction,2023-01-22,1
23,AN IMMENSE WORLD,Ed Yong,Random House,0593133234,9780593133231,Combined Print and E-Book Nonfiction,2023-01-22,11
