,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219095,9780735219090,Combined Print and E-Book Fiction,2020-01-19,69
1,THE GUARDIANS,John Grisham,Doubleday,None,9780385544191,Combined Print and E-Book Fiction,2020-01-19,12
2,THE LAST WISH,Andrzej Sapkowski,Orbit,0316055085,9780316055086,Combined Print and E-Book Fiction,2020-01-19,2
3,THE WIVES,Tarryn Fisher,Graydon House,1488054355,9781488054358,Combined Print and E-Book Fiction,2020-01-19,1
4,SUCH A FUN AGE,Kiley Reid,Putnam,052554190X,9780525541905,Combined Print and E-Book Fiction,2020-01-19,1
5,THE SILENT PATIENT,Alex Michaelides,Celadon,1250301718,9781250301710,Combined Print and E-Book Fiction,2020-01-19,16
6,THE DUTCH HOUSE,Ann Patchett,Harper,0062963694,9780062963697,Combined Print and E-Book Fiction,2020-01-19,15
7,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,1524798630,9781524798635,Combined Print and E-Book Fiction,2020-01-19,4
8,THE GIVER OF STARS,Jojo Moyes,Pamela Dorman/Viking,0399562508,9780399562501,Combined Print and E-Book Fiction,2020-01-19,12
9,A MINUTE TO MIDNIGHT,David Baldacci,Grand Central,None,9781538761625,Combined Print and E-Book Fiction,2020-01-19,7
10,CRISS CROSS,James Patterson,"Little, Brown",0316526886,9780316526883,Combined Print and E-Book Fiction,2020-01-19,6
11,BLOOD OF ELVES,Andrzej Sapkowski,Orbit,0316073717,9780316073714,Combined Print and E-Book Fiction,2020-01-19,2
12,BLUE MOON,Lee Child,Delacorte,None,9780399593550,Combined Print and E-Book Fiction,2020-01-19,10
13,THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,0062797158,9780062797155,Combined Print and E-Book Fiction,2020-01-19,62
14,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,0425284700,9780425284704,Combined Print and E-Book Fiction,2020-01-19,52
15,EDUCATED,Tara Westover,Random House,0399590501,9780399590504,Combined Print and E-Book Nonfiction,2020-01-19,98
16,TALKING TO STRANGERS,Malcolm Gladwell,"Little, Brown",0316478520,9780316478526,Combined Print and E-Book Nonfiction,2020-01-19,17
17,CATCH AND KILL,Ronan Farrow,"Little, Brown",0316486663,9780316486668,Combined Print and E-Book Nonfiction,2020-01-19,7
18,BECOMING,Michelle Obama,Crown,1524763136,9781524763138,Combined Print and E-Book Nonfiction,2020-01-19,57
19,JUST MERCY,Bryan Stevenson,Spiegel & Grau,081298496X,9780812984965,Combined Print and E-Book Nonfiction,2020-01-19,19
20,WHY WE SLEEP,Matthew Walker,Scribner,1501144332,9781501144332,Combined Print and E-Book Nonfiction,2020-01-19,1
21,SAY NOTHING,Patrick Radden Keefe,Doubleday,0385521316,9780385521314,Combined Print and E-Book Nonfiction,2020-01-19,7
22,MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,Houghton Mifflin Harcourt,1328663043,9781328663047,Combined Print and E-Book Nonfiction,2020-01-19,21
23,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,Simon & Schuster,1501134647,9781501134647,Combined Print and E-Book Nonfiction,2020-01-19,3
24,THE PIONEERS,David McCullough,Simon & Schuster,None,9781501168697,Combined Print and E-Book Nonfiction,2020-01-19,20
25,ME,Elton John,Holt,1250147603,9781250147608,Combined Print and E-Book Nonfiction,2020-01-19,12
26,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Combined Print and E-Book Nonfiction,2020-01-19,5
27,THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,1476740208,9781476740201,Combined Print and E-Book Nonfiction,2020-01-19,15
28,THE BODY,Bill Bryson,Doubleday,0385539304,9780385539302,Combined Print and E-Book Nonfiction,2020-01-19,12
29,SAPIENS,Yuval Noah Harari,Harper,0062316117,9780062316110,Combined Print and E-Book Nonfiction,2020-01-19,88
30,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219095,9780735219090,Hardcover Fiction,2020-01-19,70
31,THE GUARDIANS,John Grisham,Doubleday,0385544189,9780385544184,Hardcover Fiction,2020-01-19,12
32,SUCH A FUN AGE,Kiley Reid,Putnam,052554190X,9780525541905,Hardcover Fiction,2020-01-19,1
33,THE SILENT PATIENT,Alex Michaelides,Celadon,1250301696,9781250301697,Hardcover Fiction,2020-01-19,31
34,THE DUTCH HOUSE,Ann Patchett,Harper,0062963678,9780062963673,Hardcover Fiction,2020-01-19,15
35,CRISS CROSS,James Patterson,"Little, Brown",0316526886,9780316526883,Hardcover Fiction,2020-01-19,6
36,THE INSTITUTE,Stephen King,Scribner,1982110562,9781982110567,Hardcover Fiction,2020-01-19,17
