,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Combined Print and E-Book Fiction,2022-01-16,29
1,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Combined Print and E-Book Fiction,2022-01-16,4
2,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9781501161933,Combined Print and E-Book Fiction,2022-01-16,27
3,ANNIHILATION ROAD,Christine Feehan,Berkley,0593333217,9780593333211,Combined Print and E-Book Fiction,2022-01-16,1
4,THE JUDGE'S LIST,John Grisham,Doubleday,0385546025,9780385546027,Combined Print and E-Book Fiction,2022-01-16,11
5,THE LINCOLN HIGHWAY,Amor Towles,Viking,0735222355,9780735222359,Combined Print and E-Book Fiction,2022-01-16,13
6,CRIMINAL MISCHIEF,Stuart Woods,Putnam,0593331737,9780593331736,Combined Print and E-Book Fiction,2022-01-16,1
7,THE LOVE HYPOTHESIS,Ali Hazelwood,Berkley,0593336828,9780593336823,Combined Print and E-Book Fiction,2022-01-16,7
8,WISH YOU WERE HERE,Jodi Picoult,Ballantine,1984818414,9781984818416,Combined Print and E-Book Fiction,2022-01-16,5
9,THE MIDNIGHT LIBRARY,Matt Haig,Viking,0525559477,9780525559474,Combined Print and E-Book Fiction,2022-01-16,48
10,THE DARK HOURS,Michael Connelly,"Little, Brown",0316256560,9780316256568,Combined Print and E-Book Fiction,2022-01-16,6
11,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,Delacorte,1101885688,9781101885680,Combined Print and E-Book Fiction,2022-01-16,6
12,CLOUD CUCKOO LAND,Anthony Doerr,Scribner,1982168439,9781982168438,Combined Print and E-Book Fiction,2022-01-16,12
13,THE SONG OF ACHILLES,Madeline Miller,Ecco,0062060627,9780062060624,Combined Print and E-Book Fiction,2022-01-16,22
14,THE STRANGER IN THE LIFEBOAT,Mitch Albom,Harper,006288834X,9780062888341,Combined Print and E-Book Fiction,2022-01-16,9
15,THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",One World,0593230574,9780593230572,Combined Print and E-Book Nonfiction,2022-01-16,7
16,WILL,Will Smith with Mark Manson,Penguin Press,1984877925,9781984877925,Combined Print and E-Book Nonfiction,2022-01-16,8
17,THE YEAR OF MAGICAL THINKING,Joan Didion,Vintage,1400078431,9781400078431,Combined Print and E-Book Nonfiction,2022-01-16,1
18,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Combined Print and E-Book Nonfiction,2022-01-16,71
19,THE STORYTELLER,Dave Grohl,Dey Street,0063076098,9780063076099,Combined Print and E-Book Nonfiction,2022-01-16,13
20,CRYING IN H MART,Michelle Zauner,Knopf,0525657746,9780525657743,Combined Print and E-Book Nonfiction,2022-01-16,14
21,GREENLIGHTS,Matthew McConaughey,Crown,0593139135,9780593139134,Combined Print and E-Book Nonfiction,2022-01-16,50
22,TASTE,Stanley Tucci,Gallery,1982168013,9781982168018,Combined Print and E-Book Nonfiction,2022-01-16,12
23,UNTAMED,Glennon Doyle,Dial,1984801252,9781984801258,Combined Print and E-Book Nonfiction,2022-01-16,80
24,ALL ABOUT LOVE,bell hooks,Morrow,0060959479,9780060959470,Combined Print and E-Book Nonfiction,2022-01-16,3
25,THE LYRICS: 1956 TO THE PRESENT,Paul McCartney,Liveright,163149256X,9781631492563,Combined Print and E-Book Nonfiction,2022-01-16,9
26,THE DAWN OF EVERYTHING,David Graeber and David Wengrow,"Farrar, Straus & Giroux",0374157359,9780374157357,Combined Print and E-Book Nonfiction,2022-01-16,5
27,THE REAL ANTHONY FAUCI,Robert F. Kennedy Jr,Skyhorse,1510766804,9781510766808,Combined Print and E-Book Nonfiction,2022-01-16,6
28,ALL ABOUT ME!,Mel Brooks,Ballantine,059315911X,9780593159118,Combined Print and E-Book Nonfiction,2022-01-16,3
29,VANDERBILT,Anderson Cooper and Katherine Howe,Harper,0062964615,9780062964618,Combined Print and E-Book Nonfiction,2022-01-16,7
30,THE JUDGE'S LIST,John Grisham,Doubleday,0385546025,9780385546027,Hardcover Fiction,2022-01-16,11
31,WISH YOU WERE HERE,Jodi Picoult,Ballantine,1984818414,9781984818416,Hardcover Fiction,2022-01-16,5
32,THE STRANGER IN THE LIFEBOAT,Mitch Albom,Harper,006288834X,9780062888341,Hardcover Fiction,2022-01-16,9
33,THE LINCOLN HIGHWAY,Amor Towles,Viking,0735222355,9780735222359,Hardcover Fiction,2022-01-16,13
34,THE MIDNIGHT LIBRARY,Matt Haig,Viking,0525559477,9780525559474,Hardcover Fiction,2022-01-16,56
35,CLOUD CUCKOO LAND,Anthony Doerr,Scribner,1982168439,9781982168438,Hardcover Fiction,2022-01-16,14
36,CALL US WHAT WE CARRY,Amanda Gorman,Viking,0593465067,9780593465066,Hardcover Fiction,2022-01-16,4
37,THE WISH,Nicholas Sparks,Grand Central,1538728621,9781538728628,Hardcover Fiction,2022-01-16,14
38,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,Delacorte,1101885688,9781101885680,Hardcover Fiction,2022-01-16,6
39,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,None,9781250835994,Hardcover Fiction,2022-01-16,44
40,UNDER THE WHISPERING DOOR,TJ Klune,Tor,None,9781250835826,Hardcover Fiction,2022-01-16,2
41,THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,1501171348,9781501171345,Hardcover Fiction,2022-01-16,33
42,"BEAUTIFUL WORLD, WHERE ARE YOU",Sally Rooney,"Farrar, Straus & Giroux",0374602603,9780374602604,Hardcover Fiction,2022-01-16,7
43,A SLOW FIRE BURNING,Paula Hawkins,Riverhead,073521123X,9780735211230,Hardcover Fiction,2022-01-16,6
44,THE DARK HOURS,Michael Connelly,"Little, Brown",0316485640,9780316485647,Hardcover Fiction,2022-01-16,6
45,THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",One World,0593230574,9780593230572,Hardcover Nonfiction,2022-01-16,7
46,WILL,Will Smith with Mark Manson,Penguin Press,1984877925,9781984877925,Hardcover Nonfiction,2022-01-16,8
47,THE STORYTELLER,Dave Grohl,Dey Street,0063076098,9780063076099,Hardcover Nonfiction,2022-01-16,13
48,CRYING IN H MART,Michelle Zauner,Knopf,0525657746,9780525657743,Hardcover Nonfiction,2022-01-16,24
49,GREENLIGHTS,Matthew McConaughey,Crown,0593139135,9780593139134,Hardcover Nonfiction,2022-01-16,53
50,UNTAMED,Glennon Doyle,Dial,1984801252,9781984801258,Hardcover Nonfiction,2022-01-16,84
51,THE LYRICS: 1956 TO THE PRESENT,Paul McCartney,Liveright,163149256X,9781631492563,Hardcover Nonfiction,2022-01-16,9
52,ALL ABOUT ME!,Mel Brooks,Ballantine,059315911X,9780593159118,Hardcover Nonfiction,2022-01-16,3
53,THE DAWN OF EVERYTHING,David Graeber and David Wengrow,"Farrar, Straus & Giroux",0374157359,9780374157357,Hardcover Nonfiction,2022-01-16,5
54,TASTE,Stanley Tucci,Gallery,1982168013,9781982168018,Hardcover Nonfiction,2022-01-16,13
55,RENEGADES,Barack Obama and Bruce Springsteen,Crown,0593236319,9780593236314,Hardcover Nonfiction,2022-01-16,10
56,THE REAL ANTHONY FAUCI,Robert F. Kennedy Jr,Skyhorse,1510766804,9781510766808,Hardcover Nonfiction,2022-01-16,7
57,THE PRESIDENT AND THE FREEDOM FIGHTER,Brian Kilmeade,Sentinel,0525540571,9780525540571,Hardcover Nonfiction,2022-01-16,9
58,VANDERBILT,Anderson Cooper and Katherine Howe,Harper,0062964615,9780062964618,Hardcover Nonfiction,2022-01-16,7
59,"BEST WISHES, WARMEST REGARDS",Daniel Levy and Eugene Levy,Black Dog & Leventhal,0762499508,9780762499502,Hardcover Nonfiction,2022-01-16,4
60,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Trade Fiction Paperback,2022-01-16,35
