,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,ATOMIC HABITS,James Clear,Avery,0735211299,9780735211292,Advice How-To and Miscellaneous,2023-02-19,167
1,8 RULES OF LOVE,Jay Shetty,Simon & Schuster,1982183063,9781982183066,Advice How-To and Miscellaneous,2023-02-19,1
2,THE CREATIVE ACT,Rick Rubin with Neil Strauss,Penguin Press,0593652886,9780593652886,Advice How-To and Miscellaneous,2023-02-19,3
3,BECOMING FREE INDEED,Jinger Duggar Vuolo with Corey Williams,Thomas Nelson,1400335817,9781400335817,Advice How-To and Miscellaneous,2023-02-19,1
4,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,0062976583,9780062976581,Advice How-To and Miscellaneous,2023-02-19,166
5,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,Harper,0062457713,9780062457714,Advice How-To and Miscellaneous,2023-02-19,284
6,CAN'T HURT ME,David Goggins,Lioncrest,1544512279,9781544512273,Advice How-To and Miscellaneous,2023-02-19,31
7,THE GOOD LIFE,Robert Waldinger and Marc Schulz,Simon & Schuster,198216669X,9781982166694,Advice How-To and Miscellaneous,2023-02-19,4
8,GO-TO DINNERS,Ina Garten,Clarkson Potter,1984822780,9781984822789,Advice How-To and Miscellaneous,2023-02-19,15
9,ATLAS OF THE HEART,Brené Brown,Random House,0399592555,9780399592553,Advice How-To and Miscellaneous,2023-02-19,52
10,LITTLE BLUE TRUCK'S VALENTINE,Alice Schertle.,Clarion,0358272440,9780358272441,Picture Books,2023-02-19,19
11,LOVE FROM THE VERY HUNGRY CATERPILLAR,Eric Carle,Grosset & Dunlap,0448489325,9780448489322,Picture Books,2023-02-19,47
12,HOW TO CATCH A LOVEOSAURUS,Alice Walstead.,Sourcebooks Wonderland,1728268788,9781728268781,Picture Books,2023-02-19,5
13,GRUMPY MONKEY VALENTINE GROSS-OUT,Suzanne Lang.,Random House Studio,0593486927,9780593486924,Picture Books,2023-02-19,5
14,LOVE FROM THE CRAYONS,Drew Daywalt and Oliver Jeffers,Penguin Workshop,1524792683,9781524792688,Picture Books,2023-02-19,18
15,IN MY HEART,Jo Witek.,Abrams Appleseed,1419713108,9781419713101,Picture Books,2023-02-19,13
16,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,0385376715,9780385376716,Picture Books,2023-02-19,339
17,PETE THE CAT: VALENTINE'S DAY IS COOL,James Dean and Kimberly Dean,HarperFestival,0062198653,9780062198655,Picture Books,2023-02-19,19
18,THE SMALLEST SPOT OF A DOT,Linsey Davis and Michael Tyler.,Zonderkidz,0310748801,9780310748809,Picture Books,2023-02-19,1
19,THE ABCS OF BLACK HISTORY,Rio Cortez.,Workman,1523507497,9781523507498,Picture Books,2023-02-19,10
20,THE LAST HOURS,Cassandra Clare,Margaret K. McElderry,1481431935,9781481431934,Series Books,2023-02-19,1
21,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,0593379888,9780593379882,Series Books,2023-02-19,71
22,DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,141976294X,9781419762949,Series Books,2023-02-19,725
23,HARRY POTTER,J.K. Rowling,Scholastic,059035342X,9780590353427,Series Books,2023-02-19,724
24,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",0759555400,9780759555402,Series Books,2023-02-19,23
25,THRONE OF GLASS,Sarah J. Maas,Bloomsbury,1599909391,9781599909394,Series Books,2023-02-19,63
26,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,1416968296,9781416968290,Series Books,2023-02-19,42
27,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,1484707230,9781484707234,Series Books,2023-02-19,659
28,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,0448483203,9780448483207,Series Books,2023-02-19,131
29,WINGS OF FIRE,Tui T. Sutherland,Scholastic,0545349230,9780545349239,Series Books,2023-02-19,198
30,THE STOLEN HEIR,Holly Black,"Little, Brown",0316592706,9780316592703,Young Adult Hardcover,2023-02-19,5
31,HOW TO BE A (YOUNG) ANTIRACIST,Ibram X. Kendi and Nic Stone,Kokila,0593461606,9780593461600,Young Adult Hardcover,2023-02-19,1
32,THE DAVENPORTS,Krystal Marquis,Dial,0593463331,9780593463338,Young Adult Hardcover,2023-02-19,1
33,NICK AND CHARLIE,Alice Oseman,Scholastic,1338885103,9781338885101,Young Adult Hardcover,2023-02-19,5
34,FIVE SURVIVE,Holly Jackson,Delacorte,0593374169,9780593374160,Young Adult Hardcover,2023-02-19,10
35,THE FIRST TO DIE AT THE END,Adam Silvera,Quill Tree,0063240807,9780063240803,Young Adult Hardcover,2023-02-19,18
36,ONE OF US IS LYING,Karen M. McManus,Delacorte,1524714682,9781524714680,Young Adult Hardcover,2023-02-19,262
37,LIGHTLARK,Alex Aster,Amulet,1419760866,9781419760860,Young Adult Hardcover,2023-02-19,24
38,A THOUSAND HEARTBEATS,Kiera Cass,HarperTeen,0062665782,9780062665782,Young Adult Hardcover,2023-02-19,8
39,LOVELESS,Alice Oseman,Scholastic,133875193X,9781338751932,Young Adult Hardcover,2023-02-19,30
