,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Average Google Review,Google Review Count
0,IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9.78167E+12,Combined Print and E-Book Fiction,4/9/2023,23,4,1
1,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,038554734X,9.78039E+12,Combined Print and E-Book Fiction,4/9/2023,20,4,62
2,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,1524798649,9.78152E+12,Combined Print and E-Book Fiction,4/9/2023,12,4,104
3,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9.7815E+12,Combined Print and E-Book Fiction,4/9/2023,93,4.5,13
4,COUNTDOWN,James Patterson and Brendan DuBois,"Little, Brown",031645737X,9.78032E+12,Combined Print and E-Book Fiction,4/9/2023,1,4,1
5,I WILL FIND YOU,Harlan Coben,Grand Central,1538748363,9.78154E+12,Combined Print and E-Book Fiction,4/9/2023,2,4,5
6,HELLO BEAUTIFUL,Ann Napolitano,Dial,593243730,9.78059E+12,Combined Print and E-Book Fiction,4/9/2023,2,4.5,6
7,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,1501161938,9.7815E+12,Combined Print and E-Book Fiction,4/9/2023,90,,
8,VERITY,Colleen Hoover,Grand Central,1538724731,9.78154E+12,Combined Print and E-Book Fiction,4/9/2023,68,3.5,47
9,NEVER NEVER,Colleen Hoover and Tarryn Fisher,Canary Street,1335004882,9.78134E+12,Combined Print and E-Book Fiction,4/9/2023,4,,
10,THE LAST THING HE TOLD ME,Laura Dave,Marysue Rucci,1501171356,9.7815E+12,Combined Print and E-Book Fiction,4/9/2023,37,3.5,54
11,SMOLDER,Laurell K. Hamilton,Berkley,1984804510,9.78198E+12,Combined Print and E-Book Fiction,4/9/2023,1,,
12,THE WHITE LADY,Jacqueline Winspear,Harper,62868004,9.78006E+12,Combined Print and E-Book Fiction,4/9/2023,1,3,1
13,HEART BONES,Colleen Hoover,Atria,1668021919,9.78167E+12,Combined Print and E-Book Fiction,4/9/2023,8,,
14,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,593321200,9.78059E+12,Combined Print and E-Book Fiction,4/9/2023,15,3.5,45
15,"POVERTY, BY AMERICA",Matthew Desmond,Crown,593239911,9.78059E+12,Combined Print and E-Book Nonfiction,4/9/2023,1,4.5,108
16,SAVED,Benjamin Hall,Harper,63309661,9.78006E+12,Combined Print and E-Book Nonfiction,4/9/2023,2,5,1
17,SPARE,Prince Harry,Random House,593593804,9.78059E+12,Combined Print and E-Book Nonfiction,4/9/2023,11,5,1
18,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,143127748,9.78014E+12,Combined Print and E-Book Nonfiction,4/9/2023,135,,
19,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9.78198E+12,Combined Print and E-Book Nonfiction,4/9/2023,33,4,22
20,PARIS,Paris Hilton,Dey Street,63224623,9.78006E+12,Combined Print and E-Book Nonfiction,4/9/2023,2,,
21,THE COURAGE TO BE FREE,Ron DeSantis,Broadside,63276003,9.78006E+12,Combined Print and E-Book Nonfiction,4/9/2023,4,,
22,THE LIGHT WE CARRY,Michelle Obama,Crown,593237463,9.78059E+12,Combined Print and E-Book Nonfiction,4/9/2023,19,5,3
23,THE BEST STRANGERS IN THE WORLD,Ari Shapiro,HarperOne,63221349,9.78006E+12,Combined Print and E-Book Nonfiction,4/9/2023,1,,
24,ALL ABOUT LOVE,bell hooks,Morrow,60959479,9.78006E+12,Combined Print and E-Book Nonfiction,4/9/2023,42,3,13
