,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,1984896393,9781984896391,Series Books,2023-03-19,75
1,DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,141976294X,9781419762949,Series Books,2023-03-19,729
2,HARRY POTTER,J.K. Rowling,Scholastic,059035342X,9780590353427,Series Books,2023-03-19,728
3,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",0759555400,9780759555402,Series Books,2023-03-19,27
4,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,1484707230,9781484707234,Series Books,2023-03-19,663
5,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,1416968296,9781416968290,Series Books,2023-03-19,46
6,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,0448483203,9780448483207,Series Books,2023-03-19,135
7,FOLK OF THE AIR,Holly Black,"Little, Brown",031631031X,9780316310314,Series Books,2023-03-19,30
8,WINGS OF FIRE,Tui T. Sutherland,Scholastic,0545349230,9780545349239,Series Books,2023-03-19,201
9,THE HUNGER GAMES,Suzanne Collins,Scholastic,1338635174,9781338635171,Series Books,2023-03-19,265
10,IMMORTALITY,Dana Schwartz,Wednesday,1250861012,9781250861016,Young Adult Hardcover,2023-03-19,1
11,FIVE SURVIVE,Holly Jackson,Delacorte,0593374169,9780593374160,Young Adult Hardcover,2023-03-19,14
12,NICK AND CHARLIE,Alice Oseman,Scholastic,1338885103,9781338885101,Young Adult Hardcover,2023-03-19,9
13,SHE IS A HAUNTING,Trang Thanh Tran,Bloomsbury,None,9781547613212,Young Adult Hardcover,2023-03-19,1
14,THE STOLEN HEIR,Holly Black,"Little, Brown",0316592706,9780316592703,Young Adult Hardcover,2023-03-19,9
15,THE FIRST TO DIE AT THE END,Adam Silvera,Quill Tree,0063240807,9780063240803,Young Adult Hardcover,2023-03-19,22
16,LIGHTLARK,Alex Aster,Amulet,1419760866,9781419760860,Young Adult Hardcover,2023-03-19,28
17,THE DAVENPORTS,Krystal Marquis,Dial,0593463331,9780593463338,Young Adult Hardcover,2023-03-19,5
18,ONE OF US IS LYING,Karen M. McManus,Delacorte,1524714682,9781524714680,Young Adult Hardcover,2023-03-19,266
19,THESE INFINITE THREADS,Tahereh Mafi,HarperCollins,0062972472,9780062972477,Young Adult Hardcover,2023-03-19,4
