,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,IT STARTS WITH US,Colleen Hoover,Atria,1668001225,9781668001226,Combined Print and E-Book Fiction,2022-11-20,3
1,GOING ROGUE,Janet Evanovich,Atria,1668003082,9781668003084,Combined Print and E-Book Fiction,2022-11-20,1
2,IT ENDS WITH US,Colleen Hoover,Atria,1501110365,9781501110368,Combined Print and E-Book Fiction,2022-11-20,73
3,TRIPLE CROSS,James Patterson,"Little, Brown",0316499196,9780316499194,Combined Print and E-Book Fiction,2022-11-20,1
4,THE BOYS FROM BILOXI,John Grisham,Doubleday,0385548923,9780385548922,Combined Print and E-Book Fiction,2022-11-20,3
5,VERITY,Colleen Hoover,Grand Central,1538724731,9781538724736,Combined Print and E-Book Fiction,2022-11-20,48
6,NO PLAN B,Lee Child and Andrew Child,Delacorte,1984818546,9781984818546,Combined Print and E-Book Fiction,2022-11-20,2
7,RACING THE LIGHT,Robert Crais,Putnam,0525535756,9780525535751,Combined Print and E-Book Fiction,2022-11-20,1
8,UGLY LOVE,Colleen Hoover,Atria,1476753180,9781476753188,Combined Print and E-Book Fiction,2022-11-20,43
9,FAIRY TALE,Stephen King,Scribner,1668002175,9781668002179,Combined Print and E-Book Fiction,2022-11-20,9
10,WHERE THE CRAWDADS SING,Delia Owens,Putnam,0735219109,9780735219106,Combined Print and E-Book Fiction,2022-11-20,185
11,LONG SHADOWS,David Baldacci,Grand Central,1538719827,9781538719824,Combined Print and E-Book Fiction,2022-11-20,4
12,DEMON COPPERHEAD,Barbara Kingsolver,Harper,0063251922,9780063251922,Combined Print and E-Book Fiction,2022-11-20,3
13,FIRE AND BLOOD,George R.R. Martin,Bantam,0593598008,9780593598009,Combined Print and E-Book Fiction,2022-11-20,14
14,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,1984818384,9781984818386,Combined Print and E-Book Fiction,2022-11-20,5
15,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,1250866448,9781250866448,Combined Print and E-Book Nonfiction,2022-11-20,1
16,SURRENDER,Bono,Knopf,0525521046,9780525521044,Combined Print and E-Book Nonfiction,2022-11-20,1
17,THE PHILOSOPHY OF MODERN SONG,Bob Dylan,Simon & Schuster,1451648707,9781451648706,Combined Print and E-Book Nonfiction,2022-11-20,1
18,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,1982185821,9781982185824,Combined Print and E-Book Nonfiction,2022-11-20,13
19,CINEMA SPECULATION,Quentin Tarantino,Harper,0063112582,9780063112582,Combined Print and E-Book Nonfiction,2022-11-20,1
