,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
0,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0143127748,9780143127741,Paperback Nonfiction,2023-04-09,231
1,ALL ABOUT LOVE,bell hooks,Morrow,0060959479,9780060959470,Paperback Nonfiction,2023-04-09,68
2,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,1571313567,9781571313560,Paperback Nonfiction,2023-04-09,154
3,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",0374533555,9780374533557,Paperback Nonfiction,2023-04-09,355
4,THE ANTHROPOCENE REVIEWED,John Green,Dutton,0525555242,9780525555247,Paperback Nonfiction,2023-04-09,1
5,CASTE,Isabel Wilkerson,Random House,0593230272,9780593230275,Paperback Nonfiction,2023-04-09,6
6,EVICTED,Matthew Desmond,Broadway,0553447459,9780553447453,Paperback Nonfiction,2023-04-09,43
7,EDUCATED,Tara Westover,Random House,0399590528,9780399590528,Paperback Nonfiction,2023-04-09,45
8,TALKING TO STRANGERS,Malcolm Gladwell,Back Bay,0316299227,9780316299220,Paperback Nonfiction,2023-04-09,78
9,SOUTH TO AMERICA,Imani Perry,Ecco,0062977377,9780062977373,Paperback Nonfiction,2023-04-09,4
10,THE NINETIES,Chuck Klosterman,Penguin,0735217963,9780735217966,Paperback Nonfiction,2023-04-09,8
11,GRIT,Angela Duckworth,Scribner,1501111116,9781501111112,Paperback Nonfiction,2023-04-09,140
12,EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,Harper Perennial,0062968793,9780062968791,Paperback Nonfiction,2023-04-09,1
13,KILLERS OF THE FLOWER MOON,David Grann,Vintage,0307742482,9780307742483,Paperback Nonfiction,2023-04-09,108
14,DOPAMINE NATION,Anna Lembke,Dutton,1524746746,9781524746742,Paperback Nonfiction,2023-04-09,8
15,ATOMIC HABITS,James Clear,Avery,0735211299,9780735211292,Advice How-To and Miscellaneous,2023-04-09,174
16,THE CREATIVE ACT,Rick Rubin with Neil Strauss,Penguin Press,0593652886,9780593652886,Advice How-To and Miscellaneous,2023-04-09,10
17,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,0062976583,9780062976581,Advice How-To and Miscellaneous,2023-04-09,173
18,YOUNG FOREVER,Mark Hyman,"Little, Brown Spark",0316453188,9780316453189,Advice How-To and Miscellaneous,2023-04-09,5
19,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,Harper,0062457713,9780062457714,Advice How-To and Miscellaneous,2023-04-09,291
20,8 RULES OF LOVE,Jay Shetty,Simon & Schuster,1982183063,9781982183066,Advice How-To and Miscellaneous,2023-04-09,8
21,ATLAS OF THE HEART,Brené Brown,Random House,0399592555,9780399592553,Advice How-To and Miscellaneous,2023-04-09,56
22,EAT TO BEAT YOUR DIET,William W. Li,Balance,1538753901,9781538753903,Advice How-To and Miscellaneous,2023-04-09,1
23,CAN'T HURT ME,David Goggins,Lioncrest,1544512279,9781544512273,Advice How-To and Miscellaneous,2023-04-09,36
24,DARE TO LEAD,Brené Brown,Random House,0399592520,9780399592522,Advice How-To and Miscellaneous,2023-04-09,72
25,HOW TO CATCH THE EASTER BUNNY,Adam Wallace and Andy Elkerton,Sourcebooks Jabberwocky,149263817X,9781492638179,Picture Books,2023-04-09,22
26,LITTLE DAYMOND LEARNS TO EARN,Daymond John.,Random House,0593567277,9780593567272,Picture Books,2023-04-09,1
27,PETE THE CAT: BIG EASTER ADVENTURE,James Dean and Kimberly Dean,HarperFestival,006219867X,9780062198679,Picture Books,2023-04-09,40
28,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,Jory John.,HarperCollins,0062975676,9780062975676,Picture Books,2023-04-09,19
29,DRAGONS LOVE TACOS,Adam Rubin.,Dial,0803736800,9780803736801,Picture Books,2023-04-09,391
30,HAPPY EASTER FROM THE CRAYONS,Drew Daywalt.,Philomel,0593621050,9780593621059,Picture Books,2023-04-09,1
31,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,0385376715,9780385376716,Picture Books,2023-04-09,345
32,THE DAY THE CRAYONS QUIT,Drew Daywalt.,Philomel,0399255370,9780399255373,Picture Books,2023-04-09,353
33,THE BOOK WITH NO PICTURES,B.J. Novak,Dial,0803741715,9780803741713,Picture Books,2023-04-09,179
34,THE SOUR GRAPE,Jory John and Pete Oswald,HarperCollins,0063045419,9780063045415,Picture Books,2023-04-09,12
35,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,1984896393,9781984896391,Series Books,2023-04-09,78
36,DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,141976294X,9781419762949,Series Books,2023-04-09,732
37,THE HUNGER GAMES,Suzanne Collins,Scholastic,1338635174,9781338635171,Series Books,2023-04-09,268
38,HARRY POTTER,J.K. Rowling,Scholastic,059035342X,9780590353427,Series Books,2023-04-09,731
39,SHADOW AND BONE TRILOGY,Leigh Bardugo,Square Fish,125019623X,9781250196231,Series Books,2023-04-09,38
40,CAPTAIN UNDERPANTS,and   Dav Pilkey,Scholastic,1338865390,9781338865394,Series Books,2023-04-09,308
41,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",0759555400,9780759555402,Series Books,2023-04-09,30
42,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,1484707230,9781484707234,Series Books,2023-04-09,666
43,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,1416968296,9781416968290,Series Books,2023-04-09,49
44,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,0448483203,9780448483207,Series Books,2023-04-09,137
45,FIVE SURVIVE,Holly Jackson,Delacorte,0593374169,9780593374160,Young Adult Hardcover,2023-04-09,17
46,NICK AND CHARLIE,Alice Oseman,Scholastic,1338885103,9781338885101,Young Adult Hardcover,2023-04-09,12
47,THE STOLEN HEIR,Holly Black,"Little, Brown",0316592706,9780316592703,Young Adult Hardcover,2023-04-09,12
48,LIGHTLARK,Alex Aster,Amulet,1419760866,9781419760860,Young Adult Hardcover,2023-04-09,31
49,THE FIRST TO DIE AT THE END,Adam Silvera,Quill Tree,0063240807,9780063240803,Young Adult Hardcover,2023-04-09,25
50,SHE IS A HAUNTING,Trang Thanh Tran,Bloomsbury,None,9781547613212,Young Adult Hardcover,2023-04-09,4
51,A THOUSAND HEARTBEATS,Kiera Cass,HarperTeen,0062665782,9780062665782,Young Adult Hardcover,2023-04-09,14
52,THE DAVENPORTS,Krystal Marquis,Dial,0593463331,9780593463338,Young Adult Hardcover,2023-04-09,8
53,THE SINISTER BOOKSELLERS OF BATH,Garth Nix,HarperTeen,0063236338,9780063236332,Young Adult Hardcover,2023-04-09,1
54,LOVELESS,Alice Oseman,Scholastic,133875193X,9781338751932,Young Adult Hardcover,2023-04-09,33
