Title,Author,Publisher,Parent Group,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
VERSES FOR THE DEAD,Douglas Preston and Lincoln Child,Grand Central,Grand Central,9.78E+12,Combined Print and E-Book Fiction,1/20/19,1
WHERE THE CRAWDADS SING,Delia Owens,Putnam,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,1/20/19,17
TARGET: ALEX CROSS,James Patterson,"Little, Brown",Hachette Book,9.78E+12,Combined Print and E-Book Fiction,1/20/19,7
BIRD BOX,Josh Malerman,Ecco,HarperCollins,9.78E+12,Combined Print and E-Book Fiction,1/20/19,2
A DELICATE TOUCH,Stuart Woods,Putnam,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,1/20/19,1
THE RECKONING,John Grisham,Doubleday,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,1/20/19,11
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,HarperCollins,9.78E+12,Combined Print and E-Book Fiction,1/20/19,17
CIRCE,Madeline Miller,"Little, Brown",Hachette Book,9.78E+12,Combined Print and E-Book Fiction,1/20/19,3
THE BOY,Tami Hoag,Dutton,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,1/20/19,1
NINE PERFECT STRANGERS,Liane Moriarty,Flatiron,Macmillan Publishers,9.78E+12,Combined Print and E-Book Fiction,1/20/19,9
ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,1/20/19,21
EVERY BREATH,Nicholas Sparks,Grand Central,Grand Central,9.78E+12,Combined Print and E-Book Fiction,1/20/19,12
ONE DAY IN DECEMBER,Josie Silver,Broadway,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,1/20/19,4
A DOG'S WAY HOME,W Bruce Cameron,Forge,Macmillan Publishers,9.78E+12,Combined Print and E-Book Fiction,1/20/19,4
FIRE AND BLOOD,George R.R. Martin,Bantam,Penguin Random House,9.78E+12,Combined Print and E-Book Fiction,1/20/19,7
BECOMING,Michelle Obama,Crown,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,8
EDUCATED,Tara Westover,Random House,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,46
THE POINT OF IT ALL,"Charles Krauthammer,",Crown Forum,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,5
SAPIENS,Yuval Noah Harari,Harper,HarperCollins,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,54
BAD BLOOD,John Carreyrou,Knopf,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,22
THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,Simon & Schuster,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,7
KILLING THE SS,Bill O'Reilly and Martin Dugard,Holt,Macmillan Publishers,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,13
BRIEF ANSWERS TO THE BIG QUESTIONS,Stephen Hawking,Bantam,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,12
THE INNOCENT MAN,John Grisham,Bantam/Dell,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,2
LEADERSHIP,Doris Kearns Goodwin,Simon & Schuster,Simon & Schuster,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,16
THE FIFTH RISK,Michael Lewis,Norton,Norton,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,12
IN PIECES,Sally Field,Grand Central,Grand Central,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,10
FEAR,Bob Woodward,Simon & Schuster,Simon & Schuster,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,17
CALYPSO,David Sedaris,"Little, Brown",Hachette Book,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,13
CHURCHILL: WALKING WITH DESTINY,Andrew Roberts,Viking,Penguin Random House,9.78E+12,Combined Print and E-Book Nonfiction,1/20/19,5
WHERE THE CRAWDADS SING,Delia Owens,Putnam,Penguin Random House,9.78E+12,Hardcover Fiction,1/20/19,18
VERSES FOR THE DEAD,Douglas Preston and Lincoln Child,Grand Central,Grand Central,9.78E+12,Hardcover Fiction,1/20/19,1
THE RECKONING,John Grisham,Doubleday,Penguin Random House,9.78E+12,Hardcover Fiction,1/20/19,11
FIRE AND BLOOD,George R.R. Martin,Bantam,Penguin Random House,9.78E+12,Hardcover Fiction,1/20/19,7
EVERY BREATH,Nicholas Sparks,Grand Central,Grand Central,9.78E+12,Hardcover Fiction,1/20/19,12
CIRCE,Madeline Miller,"Little, Brown",Hachette Book,9.78E+12,Hardcover Fiction,1/20/19,6
NINE PERFECT STRANGERS,Liane Moriarty,Flatiron,Macmillan Publishers,9.78E+12,Hardcover Fiction,1/20/19,9
TARGET: ALEX CROSS,James Patterson,"Little, Brown",Hachette Book,9.78E+12,Hardcover Fiction,1/20/19,7
A DELICATE TOUCH,Stuart Woods,Putnam,Penguin Random House,9.78E+12,Hardcover Fiction,1/20/19,1
DARK SACRED NIGHT,Michael Connelly,"Little, Brown",Hachette Book,9.78E+12,Hardcover Fiction,1/20/19,9
THE BOY,Tami Hoag,Dutton,Penguin Random House,9.78E+12,Hardcover Fiction,1/20/19,1
LONG ROAD TO MERCY,David Baldacci,Grand Central,Grand Central,9.78E+12,Hardcover Fiction,1/20/19,8
PAST TENSE,Lee Child,Delacorte,Penguin Random House,9.78E+12,Hardcover Fiction,1/20/19,9
ELEVATION,Stephen King,Scribner,Simon & Schuster,9.78E+12,Hardcover Fiction,1/20/19,10
AN AMERICAN MARRIAGE,Tayari Jones,Algonquin,Algonquin Books,9.78E+12,Hardcover Fiction,1/20/19,11
BECOMING,Michelle Obama,Crown,Penguin Random House,9.78E+12,Hardcover Nonfiction,1/20/19,8
EDUCATED,Tara Westover,Random House,Penguin Random House,9.78E+12,Hardcover Nonfiction,1/20/19,46
THE POINT OF IT ALL,"Charles Krauthammer,",Crown Forum,Penguin Random House,9.78E+12,Hardcover Nonfiction,1/20/19,5
THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,Simon & Schuster,9.78E+12,Hardcover Nonfiction,1/20/19,8
BRIEF ANSWERS TO THE BIG QUESTIONS,Stephen Hawking,Bantam,Penguin Random House,9.78E+12,Hardcover Nonfiction,1/20/19,12
KILLING THE SS,Bill O'Reilly and Martin Dugard,Holt,Macmillan Publishers,9.78E+12,Hardcover Nonfiction,1/20/19,13
BAD BLOOD,John Carreyrou,Knopf,Penguin Random House,9.78E+12,Hardcover Nonfiction,1/20/19,12
LEADERSHIP,Doris Kearns Goodwin,Simon & Schuster,Simon & Schuster,9.78E+12,Hardcover Nonfiction,1/20/19,16
THE FIFTH RISK,Michael Lewis,Norton,Norton,9.78E+12,Hardcover Nonfiction,1/20/19,12
ASTROPHYSICS FOR PEOPLE IN A HURRY,Neil deGrasse Tyson,Norton,Norton,9.78E+12,Hardcover Nonfiction,1/20/19,79
FEAR,Bob Woodward,Simon & Schuster,Simon & Schuster,9.78E+12,Hardcover Nonfiction,1/20/19,17
SHADE,Pete Souza,"Little, Brown",Hachette Book,9.78E+12,Hardcover Nonfiction,1/20/19,12
CHURCHILL: WALKING WITH DESTINY,Andrew Roberts,Viking,Penguin Random House,9.78E+12,Hardcover Nonfiction,1/20/19,8
BEASTIE BOYS BOOK,Michael Diamond and Adam Horovitz,Spiegel & Grau,Spiegel & Grau,9.78E+12,Hardcover Nonfiction,1/20/19,10
ALMOST EVERYTHING,Anne Lamott,Riverhead,Penguin Random House,9.78E+12,Hardcover Nonfiction,1/20/19,6
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,HarperCollins,9.78E+12,Trade Fiction Paperback,1/20/19,18
