Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Parent Group
BLACK OPS,W E B Griffin,Putnam,399155171,9.7804E+12,Hardcover Fiction,1/18/09,1,Penguin Random House
SCARPETTA,Patricia Cornwell,Putnam,399155163,9.7804E+12,Hardcover Fiction,1/18/09,5,Penguin Random House
THE HOST,Stephenie Meyer,"Little, Brown",316068047,9.78032E+12,Hardcover Fiction,1/18/09,34,Hachette Book
CROSS COUNTRY,James Patterson,"Little, Brown",316018724,9.78032E+12,Hardcover Fiction,1/18/09,7,Hachette Book
FIRE AND ICE,Julie Garwood,Ballantine,034550075X,9.78035E+12,Hardcover Fiction,1/18/09,1,Penguin Random House
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,61374229,9.78006E+12,Hardcover Fiction,1/18/09,30,HarperCollins
THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,Threshold Editions,141659485X,9.78142E+12,Hardcover Fiction,1/18/09,8,Simon & Schuster
RUNNING HOT,Jayne Ann Krentz,Putnam,039915521X,9.7804E+12,Hardcover Fiction,1/18/09,1,Penguin Random House
THE HOUR I FIRST BELIEVED,Wally Lamb,Harper,60393491,9.78006E+12,Hardcover Fiction,1/18/09,8,HarperCollins
THE LUCKY ONE,Nicholas Sparks,Grand Central,446579939,9.78045E+12,Hardcover Fiction,1/18/09,14,Grand Central
ARCTIC DRIFT,Clive Cussler and Dirk Cussler,Putnam,399155295,9.7804E+12,Hardcover Fiction,1/18/09,6,Penguin Random House
JUST AFTER SUNSET,Stephen King,Scribner,1439115303,9.78144E+12,Hardcover Fiction,1/18/09,8,Simon & Schuster
DIVINE JUSTICE,David Baldacci,Grand Central,446195502,9.78045E+12,Hardcover Fiction,1/18/09,9,Grand Central
A MERCY,Toni Morrison,Knopf,307264238,9.78031E+12,Hardcover Fiction,1/18/09,8,Penguin Random House
THE CHARLEMAGNE PURSUIT,Steve Berry,Ballantine,345485793,9.78035E+12,Hardcover Fiction,1/18/09,4,Penguin Random House
THE GATE HOUSE,Nelson DeMille,Grand Central,446533424,9.78045E+12,Hardcover Fiction,1/18/09,0,Grand Central
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,385340990,9.78039E+12,Hardcover Fiction,1/18/09,0,Penguin Random House
A LION AMONG MEN,Gregory Maguire,Morrow,60548924,9.78006E+12,Hardcover Fiction,1/18/09,0,HarperCollins
FROM DEAD TO WORSE,Charlaine Harris,Ace,441015891,9.78044E+12,Hardcover Fiction,1/18/09,0,Penguin Random House
YOUR HEART BELONGS TO ME,Dean Koontz,Bantam,553807137,9.78055E+12,Hardcover Fiction,1/18/09,0,Penguin Random House
OUTLIERS,Malcolm Gladwell,"Little, Brown",316017922,9.78032E+12,Hardcover Nonfiction,1/18/09,7,Hachette Book
DEWEY,Vicki Myron with Bret Witter,Grand Central,446407410,9.78045E+12,Hardcover Nonfiction,1/18/09,16,Grand Central
AMERICAN LION,Jon Meacham,Random House,1400063256,9.7814E+12,Hardcover Nonfiction,1/18/09,8,Penguin Random House
MULTIPLE BLESSINGS,"Jon Gosselin, Kate Gosselin and Beth Carson",Zondervan,310289025,9.78031E+12,Hardcover Nonfiction,1/18/09,11,HarperCollins
WHY WE SUCK,Denis Leary,Viking,670031607,9.78067E+12,Hardcover Nonfiction,1/18/09,7,Penguin Random House
