Title,Author,Publisher,Parent Group,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
BLACK OPS,W E B Griffin,Putnam,Penguin Random House,9.7804E+12,Hardcover Fiction,1/18/09,1
SCARPETTA,Patricia Cornwell,Putnam,Penguin Random House,9.7804E+12,Hardcover Fiction,1/18/09,5
THE HOST,Stephenie Meyer,"Little, Brown",Hachette Book,9.78032E+12,Hardcover Fiction,1/18/09,34
CROSS COUNTRY,James Patterson,"Little, Brown",Hachette Book,9.78032E+12,Hardcover Fiction,1/18/09,7
FIRE AND ICE,Julie Garwood,Ballantine,Penguin Random House,9.78035E+12,Hardcover Fiction,1/18/09,1
THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,HarperCollins,9.78006E+12,Hardcover Fiction,1/18/09,30
THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,Threshold Editions,Simon & Schuster,9.78142E+12,Hardcover Fiction,1/18/09,8
RUNNING HOT,Jayne Ann Krentz,Putnam,Penguin Random House,9.7804E+12,Hardcover Fiction,1/18/09,1
THE HOUR I FIRST BELIEVED,Wally Lamb,Harper,HarperCollins,9.78006E+12,Hardcover Fiction,1/18/09,8
THE LUCKY ONE,Nicholas Sparks,Grand Central,Grand Central,9.78045E+12,Hardcover Fiction,1/18/09,14
ARCTIC DRIFT,Clive Cussler and Dirk Cussler,Putnam,Penguin Random House,9.7804E+12,Hardcover Fiction,1/18/09,6
JUST AFTER SUNSET,Stephen King,Scribner,Simon & Schuster,9.78144E+12,Hardcover Fiction,1/18/09,8
DIVINE JUSTICE,David Baldacci,Grand Central,Grand Central,9.78045E+12,Hardcover Fiction,1/18/09,9
A MERCY,Toni Morrison,Knopf,Penguin Random House,9.78031E+12,Hardcover Fiction,1/18/09,8
THE CHARLEMAGNE PURSUIT,Steve Berry,Ballantine,Penguin Random House,9.78035E+12,Hardcover Fiction,1/18/09,4
THE GATE HOUSE,Nelson DeMille,Grand Central,Grand Central,9.78045E+12,Hardcover Fiction,1/18/09,0
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,Penguin Random House,9.78039E+12,Hardcover Fiction,1/18/09,0
